scenario,episode,algorithm,reward
domain_randomized_randomized,1,DQN-Rand,172.6019042134285
domain_randomized_randomized,2,DQN-Rand,383.69291791319847
domain_randomized_randomized,3,DQN-Rand,89.1584939956665
domain_randomized_randomized,4,DQN-Rand,270.404861330986
domain_randomized_randomized,5,DQN-Rand,334.92702746391296
domain_randomized_randomized,6,DQN-Rand,162.48378003574908
domain_randomized_randomized,7,DQN-Rand,315.3281087875366
domain_randomized_randomized,8,DQN-Rand,116.23971676826477
domain_randomized_randomized,9,DQN-Rand,306.3719992637634
domain_randomized_randomized,10,DQN-Rand,475.15339851379395
domain_randomized_randomized,11,DQN-Rand,293.31902980804443
domain_randomized_randomized,12,DQN-Rand,88.99342668056488
domain_randomized_randomized,13,DQN-Rand,136.5784593820572
domain_randomized_randomized,14,DQN-Rand,130.35154569149017
domain_randomized_randomized,15,DQN-Rand,278.68700647354126
domain_randomized_randomized,16,DQN-Rand,139.8057814091444
domain_randomized_randomized,17,DQN-Rand,214.14988474547863
domain_randomized_randomized,18,DQN-Rand,129.92788887023926
domain_randomized_randomized,19,DQN-Rand,365.7406258583069
domain_randomized_randomized,20,DQN-Rand,236.48484551906586
domain_randomized_randomized,21,DQN-Rand,366.5692501068115
domain_randomized_randomized,22,DQN-Rand,475.2289855480194
domain_randomized_randomized,23,DQN-Rand,134.93482440710068
domain_randomized_randomized,24,DQN-Rand,186.99395179748535
domain_randomized_randomized,25,DQN-Rand,33.727996706962585
domain_randomized_randomized,26,DQN-Rand,-30.125279188156128
domain_randomized_randomized,27,DQN-Rand,234.27248525619507
domain_randomized_randomized,28,DQN-Rand,441.6088978052139
domain_randomized_randomized,29,DQN-Rand,319.4104628562927
domain_randomized_randomized,30,DQN-Rand,251.10422730445862
domain_randomized_randomized,31,DQN-Rand,200.57055866718292
domain_randomized_randomized,32,DQN-Rand,309.9368024468422
domain_randomized_randomized,33,DQN-Rand,16.70700077712536
domain_randomized_randomized,34,DQN-Rand,112.92725372314453
domain_randomized_randomized,35,DQN-Rand,187.63056954741478
domain_randomized_randomized,36,DQN-Rand,300.5444537997246
domain_randomized_randomized,37,DQN-Rand,97.61513862013817
domain_randomized_randomized,38,DQN-Rand,134.32471179962158
domain_randomized_randomized,39,DQN-Rand,269.3671383857727
domain_randomized_randomized,40,DQN-Rand,383.40507204830647
domain_randomized_randomized,41,DQN-Rand,272.59277510643005
domain_randomized_randomized,42,DQN-Rand,174.75968062877655
domain_randomized_randomized,43,DQN-Rand,257.6597183942795
domain_randomized_randomized,44,DQN-Rand,296.6923644542694
domain_randomized_randomized,45,DQN-Rand,189.8159118294716
domain_randomized_randomized,46,DQN-Rand,287.5637638568878
domain_randomized_randomized,47,DQN-Rand,225.72325038909912
domain_randomized_randomized,48,DQN-Rand,222.84044694900513
domain_randomized_randomized,49,DQN-Rand,82.44655919075012
domain_randomized_randomized,50,DQN-Rand,494.7552990913391
domain_randomized_randomized,51,DQN-Rand,188.83795714378357
domain_randomized_randomized,52,DQN-Rand,162.05150258541107
domain_randomized_randomized,53,DQN-Rand,276.06330585479736
domain_randomized_randomized,54,DQN-Rand,292.86109137535095
domain_randomized_randomized,55,DQN-Rand,343.6171088218689
domain_randomized_randomized,56,DQN-Rand,255.9348976612091
domain_randomized_randomized,57,DQN-Rand,232.9829864501953
domain_randomized_randomized,58,DQN-Rand,328.68337631225586
domain_randomized_randomized,59,DQN-Rand,248.63760995864868
domain_randomized_randomized,60,DQN-Rand,350.44072341918945
domain_randomized_randomized,61,DQN-Rand,170.891397356987
