scenario,episode,algorithm,reward
domain_randomized_randomized_s2,1,DQN-Rand,179.40755128860474
domain_randomized_randomized_s2,2,DQN-Rand,7.109611749649048
domain_randomized_randomized_s2,3,DQN-Rand,150.90495610237122
domain_randomized_randomized_s2,4,DQN-Rand,317.0758831501007
domain_randomized_randomized_s2,5,DQN-Rand,328.6231758594513
domain_randomized_randomized_s2,6,DQN-Rand,223.26355123519897
domain_randomized_randomized_s2,7,DQN-Rand,310.56463754177094
domain_randomized_randomized_s2,8,DQN-Rand,337.7265067100525
domain_randomized_randomized_s2,9,DQN-Rand,311.8653256893158
domain_randomized_randomized_s2,10,DQN-Rand,353.1111867427826
domain_randomized_randomized_s2,11,DQN-Rand,337.3537175655365
domain_randomized_randomized_s2,12,DQN-Rand,19.216745495796204
domain_randomized_randomized_s2,13,DQN-Rand,509.15128684043884
domain_randomized_randomized_s2,14,DQN-Rand,382.4175581932068
domain_randomized_randomized_s2,15,DQN-Rand,-18.46056568622589
domain_randomized_randomized_s2,16,DQN-Rand,115.00928997993469
domain_randomized_randomized_s2,17,DQN-Rand,307.0146549940109
domain_randomized_randomized_s2,18,DQN-Rand,105.16741596907377
domain_randomized_randomized_s2,19,DQN-Rand,159.61028003692627
domain_randomized_randomized_s2,20,DQN-Rand,287.689329624176
domain_randomized_randomized_s2,21,DQN-Rand,166.15505385398865
domain_randomized_randomized_s2,22,DQN-Rand,82.78407514095306
domain_randomized_randomized_s2,23,DQN-Rand,284.35135757923126
domain_randomized_randomized_s2,24,DQN-Rand,-69.99249470233917
domain_randomized_randomized_s2,25,DQN-Rand,92.79637610912323
domain_randomized_randomized_s2,26,DQN-Rand,342.72866225242615
domain_randomized_randomized_s2,27,DQN-Rand,158.34572571516037
domain_randomized_randomized_s2,28,DQN-Rand,98.76220679283142
domain_randomized_randomized_s2,29,DQN-Rand,132.69985222816467
domain_randomized_randomized_s2,30,DQN-Rand,173.02899662405252
domain_randomized_randomized_s2,31,DQN-Rand,58.686964601278305
domain_randomized_randomized_s2,32,DQN-Rand,153.2013487815857
domain_randomized_randomized_s2,33,DQN-Rand,117.60826236009598
domain_randomized_randomized_s2,34,DQN-Rand,262.4852933883667
domain_randomized_randomized_s2,35,DQN-Rand,185.5418722629547
domain_randomized_randomized_s2,36,DQN-Rand,26.57284927368164
domain_randomized_randomized_s2,37,DQN-Rand,304.4917485713959
domain_randomized_randomized_s2,38,DQN-Rand,134.6039159297943
domain_randomized_randomized_s2,39,DQN-Rand,274.8065140247345
domain_randomized_randomized_s2,40,DQN-Rand,207.49153292179108
domain_randomized_randomized_s2,41,DQN-Rand,230.38802528381348
domain_randomized_randomized_s2,42,DQN-Rand,222.30273914337158
domain_randomized_randomized_s2,43,DQN-Rand,73.11168724298477
domain_randomized_randomized_s2,44,DQN-Rand,185.5097472667694
domain_randomized_randomized_s2,45,DQN-Rand,306.1639150381088
domain_randomized_randomized_s2,46,DQN-Rand,190.09364020824432
domain_randomized_randomized_s2,47,DQN-Rand,268.8516355752945
domain_randomized_randomized_s2,48,DQN-Rand,240.67953300476074
domain_randomized_randomized_s2,49,DQN-Rand,161.40715193748474
domain_randomized_randomized_s2,50,DQN-Rand,23.671949699521065
domain_randomized_randomized_s2,51,DQN-Rand,227.3133968114853
domain_randomized_randomized_s2,52,DQN-Rand,253.37434267997742
domain_randomized_randomized_s2,53,DQN-Rand,157.42768001556396
domain_randomized_randomized_s2,54,DQN-Rand,194.7211765050888
domain_randomized_randomized_s2,55,DQN-Rand,111.25803971290588
domain_randomized_randomized_s2,56,DQN-Rand,263.8840328156948
domain_randomized_randomized_s2,57,DQN-Rand,213.51728558540344
domain_randomized_randomized_s2,58,DQN-Rand,111.80686224997044
domain_randomized_randomized_s2,59,DQN-Rand,290.16914987564087
domain_randomized_randomized_s2,60,DQN-Rand,252.03639960289001
domain_randomized_randomized_s2,61,DQN-Rand,101.38682174682617
domain_randomized_randomized_s2,62,DQN-Rand,286.88831543922424
domain_randomized_randomized_s2,63,DQN-Rand,310.9646384716034
domain_randomized_randomized_s2,64,DQN-Rand,219.02035772800446
domain_randomized_randomized_s2,65,DQN-Rand,189.2984094619751
domain_randomized_randomized_s2,66,DQN-Rand,293.0018744468689
domain_randomized_randomized_s2,67,DQN-Rand,91.58417707681656
domain_randomized_randomized_s2,68,DQN-Rand,165.86362743377686
domain_randomized_randomized_s2,69,DQN-Rand,-46.50900387763977
domain_randomized_randomized_s2,70,DQN-Rand,60.40340876579285
domain_randomized_randomized_s2,71,DQN-Rand,308.3389194011688
domain_randomized_randomized_s2,72,DQN-Rand,54.84484016895294
domain_randomized_randomized_s2,73,DQN-Rand,233.9009199142456
domain_randomized_randomized_s2,74,DQN-Rand,163.4239683151245
domain_randomized_randomized_s2,75,DQN-Rand,198.08889210224152
domain_randomized_randomized_s2,76,DQN-Rand,109.00416970252991
domain_randomized_randomized_s2,77,DQN-Rand,18.20393306016922
domain_randomized_randomized_s2,78,DQN-Rand,248.53333592414856
domain_randomized_randomized_s2,79,DQN-Rand,138.97462472319603
domain_randomized_randomized_s2,80,DQN-Rand,-19.816519856452942
domain_randomized_randomized_s2,81,DQN-Rand,92.65071034431458
domain_randomized_randomized_s2,82,DQN-Rand,111.86308765411377
domain_randomized_randomized_s2,83,DQN-Rand,288.1978267431259
domain_randomized_randomized_s2,84,DQN-Rand,223.2855297923088
domain_randomized_randomized_s2,85,DQN-Rand,129.03021985292435
domain_randomized_randomized_s2,86,DQN-Rand,352.5380036830902
domain_randomized_randomized_s2,87,DQN-Rand,148.63642513751984
domain_randomized_randomized_s2,88,DQN-Rand,180.04785466194153
domain_randomized_randomized_s2,89,DQN-Rand,219.5194016098976
domain_randomized_randomized_s2,90,DQN-Rand,400.87011075019836
domain_randomized_randomized_s2,91,DQN-Rand,144.4192556142807
domain_randomized_randomized_s2,92,DQN-Rand,-55.383993027731776
domain_randomized_randomized_s2,93,DQN-Rand,210.7902476489544
domain_randomized_randomized_s2,94,DQN-Rand,515.0344924926758
domain_randomized_randomized_s2,95,DQN-Rand,225.45373840630054
domain_randomized_randomized_s2,96,DQN-Rand,164.38453420996666
domain_randomized_randomized_s2,97,DQN-Rand,382.26130771636963
domain_randomized_randomized_s2,98,DQN-Rand,295.62645411491394
domain_randomized_randomized_s2,99,DQN-Rand,147.02412605285645
domain_randomized_randomized_s2,100,DQN-Rand,136.65854620933533
domain_randomized_randomized_s2,101,DQN-Rand,211.7719123363495
domain_randomized_randomized_s2,102,DQN-Rand,314.9541445970535
domain_randomized_randomized_s2,103,DQN-Rand,148.4695965051651
domain_randomized_randomized_s2,104,DQN-Rand,402.75093626976013
domain_randomized_randomized_s2,105,DQN-Rand,302.21521377563477
domain_randomized_randomized_s2,106,DQN-Rand,392.284823179245
domain_randomized_randomized_s2,107,DQN-Rand,316.4731969833374
domain_randomized_randomized_s2,108,DQN-Rand,334.3959482908249
domain_randomized_randomized_s2,109,DQN-Rand,317.5801125764847
domain_randomized_randomized_s2,110,DQN-Rand,282.07983446121216
domain_randomized_randomized_s2,111,DQN-Rand,255.64423203468323
domain_randomized_randomized_s2,112,DQN-Rand,297.6749897003174
domain_randomized_randomized_s2,113,DQN-Rand,136.3703215122223
