scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,setting,sample_seed,replan_count,collision_fail,online_runtime_sec,known_cell_ratio
baseline,Base Plain With Sparse Rocks,BFS,0,0,0,90.0,-2.0878087030018975,41.18376618407355,145.1737624436677,92.0878087030019,18.578486346702405,0.0,0.45161290322580644,0.3251124627968521,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,Greedy,0,0,0,90.0,-0.2843880099733411,53.840620433565945,159.35290725388543,90.28438800997334,19.017111869451906,0.0,0.5952380952380952,0.20993123498695013,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,A* shortest,0,0,0,90.0,-1.466224765236177,43.01219330881975,143.36844986737466,91.46622476523618,15.907507739921344,0.0,0.53125,0.25804711687254206,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,A* risk-aware,1,1,1,90.0,3.7775140710669177,62.840620433565945,141.52173369431597,86.22248592893308,8.935846049986422,0.0,0.39215686274509803,0.15854600098012592,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,DQN,0,1,0,90.0,1.286986712218777,52.840620433565945,154.35181674887872,88.71301328778122,17.907396086637306,0.0,0.5853658536585366,0.20871697772286113,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,PPO,0,1,0,90.0,1.286986712218777,52.840620433565945,154.35181674887872,88.71301328778122,17.907396086637306,0.0,0.5853658536585366,0.20871697772286113,offline_full_map,10101,,,,
baseline,Base Plain With Sparse Rocks,BFS-online,0,0,0,90.0,-0.7816724366521157,40.18376618407356,140.62540356066629,90.78167243665212,17.080901752753647,0.0,0.4666666666666667,0.31436339175845496,online_local_view,10101,29.0,0.0,0.1827074489556253,0.24395061728395062
baseline,Base Plain With Sparse Rocks,Greedy-online,0,0,0,90.0,-0.2843880099733411,53.840620433565945,159.35290725388543,90.28438800997334,19.017111869451906,0.0,0.5952380952380952,0.20993123498695013,online_local_view,10101,41.0,0.0,0.02923404797911644,0.30962962962962964
baseline,Base Plain With Sparse Rocks,A* shortest-online,0,0,0,90.0,-2.7528386876769986,43.01219330881975,149.06976208963172,92.752838687677,18.282206039737606,0.0,0.53125,0.2791314387418002,online_local_view,10101,31.0,0.0,0.02711981860920787,0.25925925925925924
baseline,Base Plain With Sparse Rocks,A* risk-aware-online,0,1,0,90.0,90.0,0.0,0.0,0.0,0.24234222565249217,0.0,0.0,0.24234222565249217,online_local_view,10101,1.0,0.0,0.07023094687610865,0.03950617283950617
baseline,Base Plain With Sparse Rocks,D* Lite-style,0,1,0,90.0,90.0,0.0,0.0,0.0,0.24234222565249217,0.0,0.0,0.24234222565249217,online_local_view,10101,1.0,0.0,0.07135844323784113,0.03950617283950617
baseline,Base Plain With Sparse Rocks,DQN-online,0,1,0,90.0,1.286986712218777,52.840620433565945,154.35181674887872,88.71301328778122,17.907396086637306,0.0,0.5853658536585366,0.20871697772286113,online_local_view,10101,0.0,0.0,,
baseline,Base Plain With Sparse Rocks,PPO-online,0,1,0,90.0,1.286986712218777,52.840620433565945,154.35181674887872,88.71301328778122,17.907396086637306,0.0,0.5853658536585366,0.20871697772286113,online_local_view,10101,0.0,0.0,,
baseline,Base Plain With Sparse Rocks,BFS,0,0,0,90.0,-0.2472973403484815,40.94112549695427,156.60011756385978,90.24729734034848,25.045568496459648,0.0,0.46875,0.357674015514364,offline_full_map,10138,,,,
baseline,Base Plain With Sparse Rocks,Greedy,1,1,1,90.0,7.810091967381538,57.18376618407356,146.79471918032397,82.18990803261846,14.923699802317778,0.0,0.574468085106383,0.1728446766450591,offline_full_map,10138,,,,
